gsm	title	tissue_class	sample_type_norm	program	gene	tissue_detection_fraction
GSM8514531	pdac3	lymph_node	ffpe	mregDC_strict	CD86	0.0013689253935660506
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	CD3D	0.06091718001368925
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	CD3E	0.021560574948665298
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	CD4	0.006844626967830253
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	CXCR5	0.0034223134839151265
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	PDCD1	0.0006844626967830253
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	ICOS	0.00034223134839151266
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	BCL6	0.0944558521560575
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	IL7R	0.0037645448323066393
GSM8514531	pdac3	lymph_node	ffpe	Tfh_like	CXCL13	0.020191649555099247
GSM8514531	pdac3	lymph_node	ffpe	B_cell_strict	MS4A1	0.001026694045174538
GSM8514531	pdac3	lymph_node	ffpe	B_cell_strict	CD79A	0.0027378507871321013
GSM8514531	pdac3	lymph_node	ffpe	B_cell_strict	CD79B	0.02087611225188227
GSM8514531	pdac3	lymph_node	ffpe	B_cell_strict	CD22	0.0027378507871321013
GSM8514531	pdac3	lymph_node	ffpe	B_cell_strict	CD37	0.14407939767282682
GSM8514531	pdac3	lymph_node	ffpe	Plasma_cell	MZB1	0.12628336755646818
GSM8514531	pdac3	lymph_node	ffpe	Plasma_cell	SDC1	0.035249828884325804
GSM8514531	pdac3	lymph_node	ffpe	Plasma_cell	XBP1	0.6084873374401095
GSM8514532	pdac4	tumor	ffpe	DC_core	FCER1A	0.008036739380022962
GSM8514532	pdac4	tumor	ffpe	DC_core	CLEC10A	0.011863758132414848
GSM8514532	pdac4	tumor	ffpe	DC_core	CD1C	0.010332950631458095
GSM8514532	pdac4	tumor	ffpe	DC_core	CST3	0.14313050133945657
GSM8514532	pdac4	tumor	ffpe	DC_core	HLA-DRA	0.2751626482969767
GSM8514532	pdac4	tumor	ffpe	DC_core	HLA-DPA1	0.22388059701492538
GSM8514532	pdac4	tumor	ffpe	DC_core	HLA-DPB1	0.1549942594718714
GSM8514532	pdac4	tumor	ffpe	mregDC_strict	LAMP3	0.012246460007654038
GSM8514532	pdac4	tumor	ffpe	mregDC_strict	FSCN1	0.006505931879066207
GSM8514532	pdac4	tumor	ffpe	mregDC_strict	CCR7	0.028319938767699962
GSM8514532	pdac4	tumor	ffpe	mregDC_strict	CCL19	0.1251435132032147
GSM8514532	pdac4	tumor	ffpe	mregDC_strict	CD80	0.02564102564102564
GSM8514532	pdac4	tumor	ffpe	mregDC_strict	CD86	0.02066590126291619
GSM8514532	pdac4	tumor	ffpe	Tfh_like	CD3D	0.03444316877152698
GSM8514532	pdac4	tumor	ffpe	Tfh_like	CD3E	0.027937236892460773
GSM8514532	pdac4	tumor	ffpe	Tfh_like	CD4	0.02870264064293915
