draw	mask_moran_section_median_abs_delta	global_moran_section_median_abs_delta
1	1.5950193766711696e-05	0.040821698739765135
2	2.470694984113564e-05	0.033155743024168544
3	1.6865608271576793e-05	0.02501025025196409
4	1.5914953384932318e-05	0.05809581561802235
5	1.668963732040507e-05	0.041339150533534
6	2.201337884882859e-05	0.04024585386865067
7	2.3296960838969927e-05	0.04250663747654798
8	3.174243213110994e-05	0.04122024821513806
9	1.7518971051566634e-05	0.03837197549191157
10	2.388140018991236e-05	0.024787728892278954
11	3.1096023777155146e-05	0.03191891624666482
12	1.728347664731178e-05	0.041190454792378456
13	2.2583438130455158e-05	0.03122401554201476
14	1.4558060820291097e-05	0.04001028293295392
15	3.538119534807205e-05	0.028058145615913244
16	2.5998061489229674e-05	0.02985623512622651
17	2.1070555075941577e-05	0.03578930960387666
18	2.0144188340925906e-05	0.029179426774658596
19	1.3875023188114621e-05	0.03781064222083708
20	1.7267619460303862e-05	0.036460886609500115
21	1.3635698134686902e-05	0.034856879552671055
22	1.7865923193916e-05	0.031162089468941973
23	2.030325895863161e-05	0.039340970429535486
24	1.5268277508445616e-05	0.039395397317599556
25	2.437801391655392e-05	0.03039781765375893
26	2.2621441807785247e-05	0.028897043278905687
27	1.7644175684505825e-05	0.045015711305320255
28	1.9519394023288783e-05	0.04129875122686838
29	2.6417873330464303e-05	0.03491821024835201
30	7.745341159694219e-06	0.022746254595528898
31	2.5017388606857205e-05	0.031247711807855044
32	2.0156590863157353e-05	0.026188233948819334
33	2.05721117294555e-05	0.03435318096395518
34	2.315961471993644e-05	0.038241453532784055
35	2.186932258066432e-05	0.03390534263673553
36	2.6437788623767666e-05	0.03570874877702268
37	2.8672344971225616e-05	0.033718592843088147
38	2.987218014816051e-05	0.041562364051658
39	1.5214612646030634e-05	0.02992270164075081
40	2.4092938110689688e-05	0.03938770284165613
41	1.919117111923857e-05	0.037298017116849325
42	1.7672331014462195e-05	0.03137038890282687
43	1.516384275246363e-05	0.036341672183243634
44	2.1975603894441864e-05	0.041581832424080034
45	2.3149310840339665e-05	0.031197707357432075
46	2.3202204460226472e-05	0.04089880353720762
47	2.6827551550090423e-05	0.04373256892442068
48	1.9509873702250324e-05	0.040891433471158395
49	1.821795207554433e-05	0.027559536510474963
50	2.7607174319564665e-05	0.02968625910000608
51	1.905546747094089e-05	0.035852022964230984
52	3.539074492603378e-05	0.04372950875018328
53	1.963546609673461e-05	0.040342196070447534
54	2.4455723394378737e-05	0.03529778867848482
55	3.092196187426399e-05	0.0318612831925188
56	2.6724000536437753e-05	0.0343211113708838
57	1.7533784081313897e-05	0.04140133554947683
58	1.5265020818666653e-05	0.032915292884363734
59	1.8284443692562213e-05	0.03560306177359937
60	2.285284981512481e-05	0.04073342713247738
61	2.0641040707702896e-05	0.042110300977159315
62	1.7841864177997602e-05	0.027571530875982353
63	2.74153137947708e-05	0.03576440642902808
64	1.6156638309006155e-05	0.03544614655248804
65	3.734653654213771e-05	0.03941489820483747
66	2.1066102561279054e-05	0.030623140908462493
67	2.5927701852335172e-05	0.031513930471705615
68	1.932409122012979e-05	0.03336897664911406
69	2.2460697494203208e-05	0.03733761829135501
70	1.932300473744819e-05	0.039209423516833125
71	3.196489301621197e-05	0.029501527007407158
72	2.5785810186473856e-05	0.04559006018991571
73	1.800289043543679e-05	0.02842268031158679
74	2.060539584511356e-05	0.031084676343117262
75	1.8985179594518953e-05	0.04181070205994114
76	2.8232844174524985e-05	0.033811316436794
77	1.838256141856176e-05	0.03517482243155609
78	1.7751653850206495e-05	0.027955767051269342
79	1.829460294527907e-05	0.030218855461910138
80	1.3766695802608364e-05	0.031171747578118275
81	1.9067701170272233e-05	0.033845343244936904
82	2.0514525667314487e-05	0.03501355848374124
83	1.6431667692717866e-05	0.03648811499546029
84	1.9237747626160706e-05	0.038219158371625844
85	1.6367904276864964e-05	0.041116060777232066
86	2.4596327510256755e-05	0.028222778387444147
87	2.2999194217915298e-05	0.03655360795997087
88	1.8539535953820963e-05	0.037663055294486825
89	1.3736040942069483e-05	0.035223355701410414
90	1.829398628000467e-05	0.0423830362623874
91	1.842834458193332e-05	0.03404462251025019
92	2.0551163639241643e-05	0.04484482236533333
93	1.7135311074653603e-05	0.03215544875259935
94	2.6273559553299797e-05	0.02498530145756872
95	2.4710879941415576e-05	0.04028172952767328
96	2.7258399279528334e-05	0.03298230066783689
97	2.0296393435925708e-05	0.027432665519632027
98	1.469031395534559e-05	0.04545355236956708
99	2.1208646824200095e-05	0.021127350995762267
100	1.6546083925733646e-05	0.03799640462049314
101	1.7726258194773747e-05	0.037397372087174474
102	2.3388914450528375e-05	0.03619715734846299
103	2.0850026664409604e-05	0.04319181365062277
104	2.4888129951869398e-05	0.044439635687965134
105	2.2259395518475777e-05	0.03857690883924769
106	1.8640917070059104e-05	0.04388432090238226
107	2.8840071931546252e-05	0.026420559166485086
108	2.1115266119586806e-05	0.038951926977793844
109	1.4551736627455014e-05	0.033979505749049704
110	1.6962786347551884e-05	0.041460024450040656
111	1.7768206675400355e-05	0.029190726905516745
112	1.688129814608752e-05	0.036029317383291445
113	1.6826127184288442e-05	0.04490725379029815
114	1.696386762422425e-05	0.043052602272817625
115	2.0966898573698822e-05	0.0441238325299139
116	1.7640156736220547e-05	0.024343256424115785
117	2.1080453341870697e-05	0.03244338795083236
118	1.917907320871104e-05	0.023713688555135372
119	2.9325091304314987e-05	0.02391442086933364
120	1.9053521303769028e-05	0.03176985194274637
121	3.530893222775111e-05	0.03518426500594998
122	1.593011204784056e-05	0.04013041478306367
123	2.241795711824257e-05	0.035088096640885
124	2.1856753443239008e-05	0.04007919138529295
125	2.058603212454213e-05	0.02875984526504448
126	2.0785495885411454e-05	0.03407762860046496
127	2.109743617240145e-05	0.038725912203953244
128	1.9880830426310947e-05	0.03827568556405783
