draw	mask_moran_section_median_abs_delta	global_moran_section_median_abs_delta
1	1.448183024962274e-05	0.023891047194987518
2	2.412522827083957e-05	0.028325121916689892
3	1.7262616667838848e-05	0.025378090417901053
4	1.2537922343187902e-05	0.028874587571306717
5	1.3638819461786467e-05	0.028566335056699158
6	1.4230951108917811e-05	0.028328337742661504
7	2.1402675045023578e-05	0.014439862707933578
8	1.7429562060702897e-05	0.030644474376322815
9	2.1044047426650725e-05	0.03023327300032924
10	2.0265933638505262e-05	0.01615157680604943
11	1.7252600768485893e-05	0.026663791915998714
12	1.9385854986664168e-05	0.028107455234501255
13	2.25147402625539e-05	0.025980168405705086
14	2.0422009830503574e-05	0.03488235146480696
15	1.6641317346417772e-05	0.024816211799942672
16	1.9388189526528543e-05	0.023273208234503514
17	1.4402008067244954e-05	0.01757161326470441
18	1.2338002377276086e-05	0.03019576746266113
19	1.1826562047925065e-05	0.02245402112654695
20	1.8378620019209035e-05	0.02304299233407915
21	2.0384309295210998e-05	0.02700010232091954
22	2.4031472657726205e-05	0.02048994760955953
23	1.5831776772015638e-05	0.027583103122470268
24	2.6775590278749206e-05	0.02510974618791182
25	1.645555137121807e-05	0.033899102481295504
26	2.481707861319571e-05	0.026022119792382697
27	1.7197372391315746e-05	0.02747212189632184
28	1.7873774345242288e-05	0.02809866129041772
29	2.405251356546456e-05	0.03537379514554807
30	2.164013329802872e-05	0.0208776120452078
31	2.7786430251697247e-05	0.03656301678678017
32	2.0045782456117045e-05	0.0346813812546737
33	2.1999140452449994e-05	0.0240906072862199
34	2.0867316201760022e-05	0.023590796295076925
35	1.887710445790114e-05	0.022195145968791002
36	9.603833711277487e-06	0.016714838455577155
37	1.2510547239240333e-05	0.018046164869846885
38	1.4984890178164692e-05	0.017139822442522885
39	2.1145246491618974e-05	0.028617883008897338
40	1.833811020488657e-05	0.011822994547442317
41	2.2139913798881194e-05	0.03219203484543826
42	1.9155160513747993e-05	0.024174326619318412
43	1.1597701433246899e-05	0.03180237339819733
44	1.975813108628932e-05	0.029097168987266667
45	1.4227741675330863e-05	0.018770461363293602
46	2.7055599103049943e-05	0.02084352401103777
47	2.3381866185945288e-05	0.032643868481035815
48	2.7196530069571734e-05	0.018768868589843717
49	1.8864100703230857e-05	0.0249780253786657
50	1.6640283540418632e-05	0.028317473803787924
51	1.426562225469337e-05	0.026118370064216214
52	2.1200147023545113e-05	0.02664340971221031
53	2.134180965340099e-05	0.02670015564766573
54	8.142605497380578e-06	0.030965881237352895
55	2.0723413246465094e-05	0.027240361371893382
56	9.409174135235898e-06	0.02113785791737545
57	1.6237208245811763e-05	0.026666075041592602
58	2.1046206005112533e-05	0.015755168740146347
59	2.448951193056298e-05	0.02665790723615747
60	1.807700971284687e-05	0.01719221628115558
61	8.247416735503166e-06	0.02431189050965771
62	1.751260689122902e-05	0.023914473581230763
63	1.5113006083977698e-05	0.0309904072591613
