draw	mask_moran_section_median_abs_delta	global_moran_section_median_abs_delta
1	2.9961483314411286e-05	0.03846447359897305
2	2.7232863543974473e-05	0.035318588422977526
3	1.8285563187697695e-05	0.0398358324155413
4	1.3369135603125137e-05	0.02443041042059755
5	1.778030413346343e-05	0.02003964548511769
6	1.749243738274897e-05	0.03880248376162715
7	1.6550969868425747e-05	0.039071536238887095
8	3.421150920922267e-05	0.026244065240187242
9	1.6737472196826086e-05	0.03607372559229963
10	2.1307545036083897e-05	0.035494928417542454
11	1.4982725518947193e-05	0.041053763859712974
12	2.8295591697036215e-05	0.032652955808871384
13	2.6339037024425416e-05	0.03348757611701571
14	1.7421216683743967e-05	0.02976275999655184
15	3.0299656886279003e-05	0.04190765426232479
16	2.085136877000293e-05	0.031828100633393946
17	2.290551723238554e-05	0.0316407716250368
18	2.3549239844267156e-05	0.029561174475712687
19	2.4082551950049824e-05	0.05058159003160423
20	2.0628223627250364e-05	0.04110730559173015
21	1.8323283412557956e-05	0.031155604563446355
22	1.8747314884548505e-05	0.04065444253710396
23	1.9750163694404188e-05	0.04516978169116076
24	1.2140905630897425e-05	0.04429502085054901
25	3.2120908105615076e-05	0.04737264317166384
26	2.0061418572081546e-05	0.03224695887970733
27	2.269222999243259e-05	0.03234883144291034
28	1.6548204684219137e-05	0.03595492508504572
29	2.2509316275759472e-05	0.03219504245078997
30	1.5962904237998288e-05	0.034599315983954604
31	1.2350576191089147e-05	0.03447440809857963
32	2.2525091254971263e-05	0.04309584556434934
33	2.5495569103639593e-05	0.03153230498435117
34	2.7270589691541502e-05	0.0313212421172734
35	1.2925824067616665e-05	0.04943692695232013
36	1.7378366637260667e-05	0.033122847131033195
37	2.7468044795059265e-05	0.041960726823304775
38	1.9578756174865042e-05	0.030650979000426376
39	1.787738626186225e-05	0.054790039809280516
40	2.4538798514807392e-05	0.02746054091164782
41	3.2193364172150574e-05	0.02970128859364568
42	2.5855033355781654e-05	0.03824521846554596
43	2.6114461012527457e-05	0.03564163627680669
44	1.57640355919475e-05	0.034500652300057194
45	2.5202876785090922e-05	0.03347458268161446
46	2.120631954630192e-05	0.03007758888855777
47	1.8733313758373393e-05	0.04223029152422991
48	2.181673923407068e-05	0.03282345312414067
49	1.800072791572488e-05	0.037586008343524935
50	1.6902801202249573e-05	0.026890922908714587
51	2.6420687430250833e-05	0.035153016118585595
52	1.7670360540844587e-05	0.031813439939117394
53	2.6505153818134897e-05	0.03547849677429776
54	2.1311775461552163e-05	0.04396012594322604
55	1.0692970051962014e-05	0.03132239281899726
56	1.4701774443313942e-05	0.03767900979183092
57	1.7765899900087923e-05	0.04354640773780838
58	1.2487661285504048e-05	0.03978419053480695
59	1.4168516217438754e-05	0.03764328111448145
60	2.4786235376550447e-05	0.025998175235586618
61	2.5849273542766227e-05	0.026781140708809076
62	2.2973090931965867e-05	0.0351791013701693
63	1.595610693949645e-05	0.039301379359085814
64	1.860218261956481e-05	0.018063245011202787
65	2.2840455545874994e-05	0.025677403592910604
66	1.690908195395302e-05	0.02243910689613035
67	2.9801376558530324e-05	0.04399298961166522
68	1.8654528653738733e-05	0.02025610140391662
69	2.136614780653967e-05	0.030283998757160174
70	2.112752595367917e-05	0.028240310014080866
71	2.559507567326258e-05	0.034844727465664305
72	2.0277780149124958e-05	0.027250221533830915
73	1.7766920077794124e-05	0.05285825839459457
74	2.90818454855013e-05	0.030583756646056726
75	1.5806581107891127e-05	0.04015046712192215
76	1.9077374318554607e-05	0.04055411771145484
77	1.789459741965982e-05	0.04848378260463643
78	2.0851798342991223e-05	0.02986790108102283
79	1.4035122861411065e-05	0.0349455627553876
80	2.1618381091020877e-05	0.045216960340418194
81	2.9264236812986955e-05	0.035809818115599065
82	2.1341231779298253e-05	0.03860428469049136
83	1.8361838632074967e-05	0.04690648892531042
84	2.356993498875415e-05	0.026178974338033595
85	1.8645102857317575e-05	0.03792615952682765
86	3.182967219769739e-05	0.04251215877216266
87	2.0534855942222485e-05	0.04062678138032688
88	2.9732941748919495e-05	0.04311326669228743
89	1.649633696449576e-05	0.030682241530984616
90	1.9021419779115256e-05	0.033444975348048106
91	2.2000665613863823e-05	0.03677507980686534
92	2.1212974307377452e-05	0.029772834007555128
93	2.0121961882002548e-05	0.03748522071924715
94	2.285064835458317e-05	0.03959147789806314
95	3.400440614964584e-05	0.0280297926476413
96	1.585003324608425e-05	0.037995469349645074
97	8.807942588812123e-06	0.03745559245206723
98	1.8434957348129055e-05	0.031277546017090735
99	1.2304570063070841e-05	0.04383110556138253
100	1.3568929833188137e-05	0.02800034496280432
101	2.1751030664207693e-05	0.04134714134719847
102	1.5327999883338328e-05	0.02435045664507618
103	2.0556131725218973e-05	0.031279761061651534
104	1.834912718468029e-05	0.03463900388425248
105	2.721703536834319e-05	0.04859285054793061
106	1.880406774611848e-05	0.029804605908904443
107	2.239861839603563e-05	0.04392814160240732
108	2.51908172347326e-05	0.042715262426487016
109	2.05616083712723e-05	0.03683277223102757
110	1.9024162760672425e-05	0.03693559010314923
111	2.681377337575286e-05	0.036163268939444854
112	2.3055753123057965e-05	0.020580554390096734
113	1.9001157128051283e-05	0.034276418971983
114	1.811028849951768e-05	0.04049617711088632
115	2.1396867984246892e-05	0.04374823990053736
116	1.4457748718998964e-05	0.040562661195720565
117	2.186998218667302e-05	0.030349146854700526
118	1.8222301497783366e-05	0.040458770705417056
119	1.7228999282255242e-05	0.03519766849395929
120	1.9712441147234916e-05	0.034892440474670834
121	2.7429787415211848e-05	0.04220839975336563
122	3.122628545149109e-05	0.0374017662463587
123	1.88953885025267e-05	0.03968814036712984
124	2.753200889199503e-05	0.033598758679232676
125	1.5850061266753368e-05	0.04270401493422857
126	2.1891043934532672e-05	0.031189904239984544
127	1.3609541576115047e-05	0.03942391698472842
128	2.019061150404511e-05	0.0420701336150468
129	3.191541262972941e-05	0.0435174786086214
130	1.535017728024335e-05	0.037945095699528725
131	1.6054100214608902e-05	0.02919793498679893
132	2.752083182311349e-05	0.040805454221317206
133	2.1665423756284108e-05	0.033863419097228675
134	2.0822459862568365e-05	0.03862737487228482
135	3.338021036333738e-05	0.0491553067836511
136	1.756510744782558e-05	0.03097466427588283
137	1.8020981914224077e-05	0.027460601687227887
138	1.760460483074544e-05	0.032127151050431915
139	2.2548490431470447e-05	0.034055166461135516
140	1.5334713757031437e-05	0.03006234718824579
141	2.6043137719228282e-05	0.034086716074745255
142	2.0679325924401193e-05	0.028116286140328073
143	1.9849190440818232e-05	0.03509497696111527
144	1.8865407933998934e-05	0.03231135649343342
145	2.4219586257312464e-05	0.04313970562413358
146	2.694646811762791e-05	0.027174444276021816
147	2.695591170918249e-05	0.02530206664675859
148	2.3042900748754258e-05	0.02968102141549553
149	2.4499286926618624e-05	0.03633237513691681
150	1.9348471792739186e-05	0.038710774336541354
151	2.1002233148659233e-05	0.0373786345936975
152	1.637416089167454e-05	0.03303515033552726
153	2.0881545327811057e-05	0.0472301815399411
154	2.1133542260576288e-05	0.04305121193103749
155	1.6094282998035947e-05	0.035370352146378986
156	2.8879697156924955e-05	0.043244535169649406
157	1.9423761495440672e-05	0.04211905027901938
158	1.6196171141347193e-05	0.04490228440460306
159	2.203492640762139e-05	0.03171618607077187
160	2.2105002769196025e-05	0.028240672056386446
161	2.4691443143404213e-05	0.027003976891414427
162	2.0874594618275344e-05	0.030373616884696857
163	2.2175144808671277e-05	0.028696668626363636
164	2.4170258239530895e-05	0.03226324861436106
165	1.489632353798842e-05	0.030936384356087337
166	1.5238866586553268e-05	0.03306930732001519
167	1.9228756018729865e-05	0.0398047275166912
168	1.7623769414165658e-05	0.05275830705491663
169	2.3014607875182502e-05	0.04394904197155741
170	2.5507127663526585e-05	0.03707285722764872
171	1.3026205626098797e-05	0.03788010977858522
172	2.6488410929809136e-05	0.031426496015607236
173	1.7385866349223233e-05	0.033978171737830964
174	1.9074904448246333e-05	0.03136121046983878
175	2.3088460343517747e-05	0.03615814677184326
176	1.2581725792520926e-05	0.028363863805535683
177	2.6589921053296606e-05	0.039931321767447736
178	2.0456162267201705e-05	0.03546462668823115
179	2.1437821817710256e-05	0.030842859913594478
180	2.2362493531068173e-05	0.03327613806626209
181	2.821720253468052e-05	0.03750715475370213
182	3.479714419982183e-05	0.03386845238806585
183	1.3579903446886421e-05	0.044574935691258255
184	1.9311018210982356e-05	0.03402830855539198
185	2.2496667625743205e-05	0.03395368736239776
186	2.5824876852598155e-05	0.04009080068449952
187	2.3236048042524216e-05	0.036674738989336014
188	1.77508633945056e-05	0.04146971145533973
189	2.197140637710815e-05	0.04002974141704052
190	2.5567951559279933e-05	0.033665841990203366
191	2.0769125443492742e-05	0.0464264712677645
192	1.9703019069700067e-05	0.03755707809087817
193	1.5846852751161267e-05	0.0260510086631741
194	2.6338766449973683e-05	0.03675846214279622
195	2.9113674670420975e-05	0.04682402518317927
196	2.388028570313172e-05	0.029495642819657886
197	2.504379062322204e-05	0.03606111137106843
198	1.8917155559530774e-05	0.02658016518500303
199	1.676290374608147e-05	0.027052023273760883
200	1.7203388685160803e-05	0.028839012128230132
201	2.2846222480950307e-05	0.035861644083215016
202	1.733687545124596e-05	0.035970448868936244
