cohort	sample	program	program_genes	n_program_genes	n_genes_available	gene_coverage	spot_nonzero_fraction	score_zero_fraction
GSE278687	GSM8552957_PA47	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.678963110667996	0.32103688933200397
GSE278687	GSM8552957_PA47	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.6911764705882353	0.3088235294117647
GSE278687	GSM8552957_PA47	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.4484047856430708	0.5515952143569293
GSE278687	GSM8552957_PA47	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.31480558325024927	0.6851944167497508
GSE278687	GSM8552957_PA47	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.5119641076769691	0.4880358923230309
GSE278687	GSM8552957_PA47	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.21086739780658026	0.7891326021934197
GSE278687	GSM8552957_PA47	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.807826520438684	0.19217347956131606
GSE278687	GSM8552958_PA72	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9431726907630522	0.056827309236947794
GSE278687	GSM8552958_PA72	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.6369477911646586	0.36305220883534134
GSE278687	GSM8552958_PA72	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.8600401606425703	0.13995983935742973
GSE278687	GSM8552958_PA72	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8502008032128514	0.1497991967871486
GSE278687	GSM8552958_PA72	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.5917670682730923	0.4082329317269076
GSE278687	GSM8552958_PA72	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.3349397590361446	0.6650602409638554
GSE278687	GSM8552958_PA72	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.6889558232931727	0.3110441767068273
GSE278687	GSM8552958_PA72	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.4987951807228916	0.5012048192771085
GSE278687	GSM8552958_PA72	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9632530120481928	0.03674698795180723
GSE278687	GSM8552959_PA85	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9935724652705785	0.006427534729421522
GSE278687	GSM8552959_PA85	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.7333609786439975	0.2666390213560025
GSE278687	GSM8552959_PA85	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.8890731909599834	0.11092680904001659
GSE278687	GSM8552959_PA85	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.7710968277006013	0.22890317229939872
GSE278687	GSM8552959_PA85	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.6524984449512752	0.3475015550487249
GSE278687	GSM8552959_PA85	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.45303752850922663	0.5469624714907734
GSE278687	GSM8552959_PA85	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.7766950031100974	0.22330499688990255
GSE278687	GSM8552959_PA85	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.4175824175824176	0.5824175824175825
GSE278687	GSM8552959_PA85	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9970972423802612	0.002902757619738752
GSE278687	GSM8552960_PA98	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9623397435897436	0.03766025641025641
GSE278687	GSM8552960_PA98	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.7938701923076923	0.20612980769230768
GSE278687	GSM8552960_PA98	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9002403846153846	0.09975961538461539
GSE278687	GSM8552960_PA98	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8425480769230769	0.15745192307692307
GSE278687	GSM8552960_PA98	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.8066907051282052	0.19330929487179488
GSE278687	GSM8552960_PA98	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.6111778846153846	0.38882211538461536
GSE278687	GSM8552960_PA98	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.8339342948717948	0.16606570512820512
GSE278687	GSM8552960_PA98	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.483974358974359	0.5160256410256411
GSE278687	GSM8552960_PA98	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9613381410256411	0.038661858974358976
GSE277116	pdac2	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9228358793576185	0.07716412064238151
GSE277116	pdac2	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.6204465334900118	0.3795534665099882
GSE277116	pdac2	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.7207207207207207	0.27927927927927926
GSE277116	pdac2	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.627888758323541	0.3721112416764591
GSE277116	pdac2	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.3936545240893067	0.6063454759106933
GSE277116	pdac2	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.35879357618488056	0.6412064238151195
GSE277116	pdac2	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.4625930278104191	0.5374069721895809
GSE277116	pdac2	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.09244026635330983	0.9075597336466902
GSE277116	pdac2	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.8437132784958872	0.1562867215041128
GSE277116	pdac4	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.567929582854956	0.432070417145044
GSE277116	pdac4	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.20015308075009566	0.7998469192499044
GSE277116	pdac4	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.2969766551856104	0.7030233448143896
GSE277116	pdac4	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.338691159586682	0.661308840413318
GSE277116	pdac4	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.1312667432070417	0.8687332567929583
GSE277116	pdac4	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.07156525066972828	0.9284347493302717
GSE277116	pdac4	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.08342900880214313	0.9165709911978569
GSE277116	pdac4	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.03329506314580941	0.9667049368541906
GSE277116	pdac4	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.19632606199770378	0.8036739380022963
GSE277116	pdac5	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.7390769230769231	0.2609230769230769
GSE277116	pdac5	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.20123076923076924	0.7987692307692308
GSE277116	pdac5	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.3812307692307692	0.6187692307692307
GSE277116	pdac5	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.23876923076923076	0.7612307692307693
GSE277116	pdac5	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.19538461538461538	0.8046153846153846
GSE277116	pdac5	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.11138461538461539	0.8886153846153846
GSE277116	pdac5	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.19446153846153846	0.8055384615384615
GSE277116	pdac5	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.08553846153846154	0.9144615384615384
GSE277116	pdac5	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.6793846153846154	0.32061538461538464
GSE277116	pdac6	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9716626835097303	0.028337316490269715
GSE277116	pdac6	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.8292932741550018	0.1707067258449983
GSE277116	pdac6	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.890406282007511	0.1095937179924889
GSE277116	pdac6	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8856264936838512	0.11437350631614886
GSE277116	pdac6	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.794469102082622	0.20553089791737794
GSE277116	pdac6	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.7637418914305224	0.23625810856947763
GSE277116	pdac6	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.7145783543871629	0.28542164561283717
GSE277116	pdac6	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.49470809149880507	0.505291908501195
GSE277116	pdac6	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9306930693069307	0.06930693069306931
GSE277116	pdac7	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9136618589743589	0.08633814102564102
GSE277116	pdac7	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.49198717948717946	0.5080128205128205
GSE277116	pdac7	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.6384214743589743	0.36157852564102566
GSE277116	pdac7	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.5933493589743589	0.406650641025641
GSE277116	pdac7	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.3896233974358974	0.6103766025641025
GSE277116	pdac7	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.3717948717948718	0.6282051282051282
GSE277116	pdac7	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.4439102564102564	0.5560897435897436
GSE277116	pdac7	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.13040865384615385	0.8695913461538461
GSE277116	pdac7	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.8143028846153846	0.1856971153846154
GSE277116	pdac8	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9855421686746988	0.014457831325301205
GSE277116	pdac8	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.7397590361445783	0.26024096385542167
GSE277116	pdac8	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9012048192771084	0.09879518072289156
GSE277116	pdac8	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8424698795180723	0.15753012048192772
GSE277116	pdac8	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.6746987951807228	0.3253012048192771
GSE277116	pdac8	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.4602409638554217	0.5397590361445783
GSE277116	pdac8	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.7168674698795181	0.28313253012048195
GSE277116	pdac8	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.48343373493975905	0.516566265060241
GSE277116	pdac8	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9698795180722891	0.030120481927710843
GSE277116	pdac9	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9987236758136566	0.0012763241863433313
GSE277116	pdac9	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.681238034460753	0.31876196553924696
GSE277116	pdac9	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.7763241863433312	0.2236758136566688
GSE277116	pdac9	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.7070835992342055	0.2929164007657945
GSE277116	pdac9	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.6199744735162731	0.3800255264837269
GSE277116	pdac9	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.29227823867262287	0.7077217613273772
GSE277116	pdac9	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.6429483088704531	0.3570516911295469
GSE277116	pdac9	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.08615188257817485	0.9138481174218251
GSE277116	pdac9	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9993618379068283	0.0006381620931716656
GSE277116	pdac11	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9983465608465608	0.0016534391534391533
GSE277116	pdac11	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.7595899470899471	0.2404100529100529
GSE277116	pdac11	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.896494708994709	0.103505291005291
GSE277116	pdac11	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.9093915343915344	0.09060846560846561
GSE277116	pdac11	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.398478835978836	0.6015211640211641
GSE277116	pdac11	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.3349867724867725	0.6650132275132276
GSE277116	pdac11	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.546957671957672	0.453042328042328
GSE277116	pdac11	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.3915343915343915	0.6084656084656085
GSE277116	pdac11	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9586640211640212	0.04133597883597884
GSE277116	pdac15	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.8912386706948641	0.10876132930513595
GSE277116	pdac15	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.3421450151057402	0.6578549848942599
GSE277116	pdac15	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.3240181268882175	0.6759818731117825
GSE277116	pdac15	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.4078549848942598	0.5921450151057401
GSE277116	pdac15	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.18126888217522658	0.8187311178247734
GSE277116	pdac15	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.09818731117824774	0.9018126888217523
GSE277116	pdac15	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.24244712990936557	0.7575528700906344
GSE277116	pdac15	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.08383685800604229	0.9161631419939577
GSE277116	pdac15	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.777190332326284	0.22280966767371602
GSE277116	pdac16	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.6297822248381401	0.37021777516185994
GSE277116	pdac16	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.21012360211889347	0.7898763978811065
GSE277116	pdac16	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.21954090641553856	0.7804590935844614
GSE277116	pdac16	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.25662154208357857	0.7433784579164214
GSE277116	pdac16	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.1288993525603296	0.8711006474396704
GSE277116	pdac16	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.05532666274278988	0.9446733372572101
GSE277116	pdac16	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.09181871689228958	0.9081812831077104
GSE277116	pdac16	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.00529723366686286	0.9947027663331371
GSE277116	pdac16	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.6839317245438493	0.3160682754561507
GSE277116	pdac18	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9893679858239811	0.010632014176018901
GSE277116	pdac18	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.6963969285292381	0.303603071470762
GSE277116	pdac18	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.5540460720614294	0.4459539279385706
GSE277116	pdac18	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.6408741878322505	0.3591258121677496
GSE277116	pdac18	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.42941523922031893	0.570584760779681
GSE277116	pdac18	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.28470171293561725	0.7152982870643827
GSE277116	pdac18	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.3520378027170703	0.6479621972829297
GSE277116	pdac18	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.11045481393975191	0.8895451860602481
GSE277116	pdac18	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.8854105138806851	0.11458948611931483
GSE277116	pdac19	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9603841536614646	0.03961584633853541
GSE277116	pdac19	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.48139255702280914	0.5186074429771909
GSE277116	pdac19	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.45778311324529813	0.5422168867547019
GSE277116	pdac19	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.508203281312525	0.491796718687475
GSE277116	pdac19	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.27010804321728693	0.7298919567827131
GSE277116	pdac19	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.15286114445778312	0.8471388555422169
GSE277116	pdac19	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.23649459783913565	0.7635054021608644
GSE277116	pdac19	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.13165266106442577	0.8683473389355743
GSE277116	pdac19	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.8031212484993998	0.19687875150060025
GSE277116	pdac20	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.7703768624014022	0.22962313759859773
GSE277116	pdac20	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.1831726555652936	0.8168273444347064
GSE277116	pdac20	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.15016067776803974	0.8498393222319602
GSE277116	pdac20	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.16301489921121823	0.8369851007887817
GSE277116	pdac20	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.09377738825591586	0.9062226117440841
GSE277116	pdac20	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.05141688577271399	0.948583114227286
GSE277116	pdac20	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.08384458077709611	0.9161554192229039
GSE277116	pdac20	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.015191352614665497	0.9848086473853345
GSE277116	pdac20	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.576979257960853	0.42302074203914697
GSE277116	pdac22	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.48079561042524005	0.5192043895747599
GSE277116	pdac22	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.11934156378600823	0.8806584362139918
GSE277116	pdac22	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.11454046639231824	0.8854595336076817
GSE277116	pdac22	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.15706447187928668	0.8429355281207133
GSE277116	pdac22	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.12139917695473251	0.8786008230452675
GSE277116	pdac22	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.02263374485596708	0.977366255144033
GSE277116	pdac22	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.06172839506172839	0.9382716049382716
GSE277116	pdac22	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.013717421124828532	0.9862825788751715
GSE277116	pdac22	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.21056241426611796	0.789437585733882
GSE277116	pdac23	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.996636394214598	0.003363605785401951
GSE277116	pdac23	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.29868819374369326	0.7013118062563067
GSE277116	pdac23	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.3773965691220989	0.6226034308779012
GSE277116	pdac23	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.41910528086108306	0.5808947191389169
GSE277116	pdac23	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.25697948200470905	0.7430205179952909
GSE277116	pdac23	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.15943491422805248	0.8405650857719476
GSE277116	pdac23	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.2687521022536159	0.7312478977463841
