cohort	sample	program	program_genes	n_program_genes	n_genes_available	gene_coverage	spot_nonzero_fraction	score_zero_fraction
GSE278687	GSM8552943_PA04-1	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.8725834797891037	0.1274165202108963
GSE278687	GSM8552943_PA04-1	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.6709138840070299	0.3290861159929701
GSE278687	GSM8552943_PA04-1	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.8782952548330404	0.12170474516695957
GSE278687	GSM8552943_PA04-1	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.19903339191564148	0.8009666080843585
GSE278687	GSM8552943_PA04-1	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9991212653778558	0.0008787346221441124
GSE278687	GSM8552944_PA04-2	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9880181347150259	0.011981865284974092
GSE278687	GSM8552944_PA04-2	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.6285621761658031	0.3714378238341969
GSE278687	GSM8552944_PA04-2	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.46696891191709844	0.5330310880829016
GSE278687	GSM8552944_PA04-2	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8886010362694301	0.11139896373056994
GSE278687	GSM8552944_PA04-2	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.43426165803108807	0.5657383419689119
GSE278687	GSM8552944_PA04-2	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.22279792746113988	0.7772020725388601
GSE278687	GSM8552944_PA04-2	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.41386010362694303	0.586139896373057
GSE278687	GSM8552944_PA04-2	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.05408031088082901	0.945919689119171
GSE278687	GSM8552944_PA04-2	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9967616580310881	0.003238341968911917
GSE278687	GSM8552945_PA05-1	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9946595460614153	0.0053404539385847796
GSE278687	GSM8552945_PA05-1	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.8798397863818425	0.12016021361815754
GSE278687	GSM8552945_PA05-1	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9230084557187361	0.07699154428126391
GSE278687	GSM8552945_PA05-1	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.7142857142857143	0.2857142857142857
GSE278687	GSM8552945_PA05-1	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.8161993769470405	0.1838006230529595
GSE278687	GSM8552945_PA05-1	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.5131286159323543	0.48687138406764574
GSE278687	GSM8552945_PA05-1	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.8126390743213173	0.18736092567868268
GSE278687	GSM8552945_PA05-1	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.39118825100133514	0.6088117489986649
GSE278687	GSM8552945_PA05-1	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9915442812639075	0.008455718736092568
GSE278687	GSM8552946_PA05-2	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9871794871794872	0.01282051282051282
GSE278687	GSM8552946_PA05-2	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.9150641025641025	0.08493589743589744
GSE278687	GSM8552946_PA05-2	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9519230769230769	0.04807692307692308
GSE278687	GSM8552946_PA05-2	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8335336538461539	0.16646634615384615
GSE278687	GSM8552946_PA05-2	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.8699919871794872	0.13000801282051283
GSE278687	GSM8552946_PA05-2	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.7017227564102564	0.2982772435897436
GSE278687	GSM8552946_PA05-2	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.8876201923076923	0.1123798076923077
GSE278687	GSM8552946_PA05-2	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.5408653846153846	0.45913461538461536
GSE278687	GSM8552946_PA05-2	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9961939102564102	0.0038060897435897435
GSE278687	GSM8552947_PA06	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	1.0	0.0
GSE278687	GSM8552947_PA06	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.9697674418604652	0.030232558139534883
GSE278687	GSM8552947_PA06	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9852713178294573	0.014728682170542635
GSE278687	GSM8552947_PA06	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.9782945736434109	0.021705426356589147
GSE278687	GSM8552947_PA06	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.9550387596899225	0.04496124031007752
GSE278687	GSM8552947_PA06	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.7492248062015504	0.2507751937984496
GSE278687	GSM8552947_PA06	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.9666666666666667	0.03333333333333333
GSE278687	GSM8552947_PA06	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.6887596899224806	0.3112403100775194
GSE278687	GSM8552947_PA06	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9957364341085271	0.004263565891472868
GSE278687	GSM8552948_PA08	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9353754202465446	0.06462457975345536
GSE278687	GSM8552948_PA08	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.22973477773627193	0.7702652222637281
GSE278687	GSM8552948_PA08	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.21255136346656706	0.787448636533433
