array_coordinate_block_size	seed	observed	n_patients	n_sections	n_null_draws	null_median	null_ci_low	null_ci_high	n_as_or_more_extreme	two_sided_add_one_monte_carlo_p
4	20260813	0.41832734324688803	18	21	999	0.36974353245177344	0.35541352778111446	0.383839411210816	0	0.001
8	20260813	0.41832734324688803	18	21	999	0.27074732513322947	0.2452241987591669	0.29403541677293343	0	0.001
12	20260813	0.41832734324688803	18	21	999	0.22456678897157303	0.19522077302288615	0.2500712340425135	0	0.001
