draw	global_moran_section_median_abs_delta	mask_moran_section_median_abs_delta
1	1.5093626545947814e-05	0.02915725910165831
2	2.0980592203734272e-05	0.025486838222662372
3	1.570143970985871e-05	0.028098930550440757
4	1.8107177688242437e-05	0.04044274659186725
5	1.3941666544690923e-05	0.04402389069522007
6	2.563353707579763e-05	0.02910917541028643
7	2.4095505558194286e-05	0.03502765903103816
8	2.235669890957026e-05	0.03380601908233441
9	2.4758233803476304e-05	0.03036172420410592
10	2.386212790522757e-05	0.03717644457424901
11	2.120976709701905e-05	0.03053030304608234
12	2.044273863258117e-05	0.02847431046145016
13	2.280797635845211e-05	0.03403916761725456
14	2.0629238899970426e-05	0.0371839456602312
15	2.49129159595185e-05	0.033900820011002156
16	2.5011878748010252e-05	0.028091717471319083
17	2.655598511783208e-05	0.033775777350381744
18	1.9660038584279338e-05	0.029486066451322845
19	2.312624416947462e-05	0.030936530747224966
20	2.1083815625641544e-05	0.03122825181363348
21	2.1262966846125053e-05	0.024228495672501377
22	2.291955838298887e-05	0.029212585843148287
23	1.2127102615139274e-05	0.03529376347240039
24	1.903774009154313e-05	0.03402922922474491
25	2.2927251003473925e-05	0.036253547956831805
26	2.3204420883382593e-05	0.017289410468870364
27	2.237424074608141e-05	0.03501942193187804
28	1.9254310792748974e-05	0.03906724336563604
29	2.2371239723928404e-05	0.0310340510025984
30	1.3955908582136134e-05	0.0257898615905518
31	2.4791595813505873e-05	0.03104884526165047
32	3.1278024935771365e-05	0.022224162722755375
33	2.50102611447367e-05	0.030563036574191835
34	1.270920684154353e-05	0.04102833882728796
35	2.259264464843369e-05	0.028294586198241573
36	2.6188409345762054e-05	0.03788905179429358
37	2.285668986973244e-05	0.034595701920334954
38	1.5506791105901474e-05	0.032967719301291054
39	1.0377626536911544e-05	0.03358349608804567
40	1.819812007558541e-05	0.0368572704285485
41	2.1420417066930764e-05	0.04263589094757257
42	2.2535053232020097e-05	0.030760872189840797
43	1.576807702968752e-05	0.035867086667654924
44	1.7677913194985573e-05	0.027492007944555284
45	1.9339166087539716e-05	0.02369241288905305
46	2.5689513661095176e-05	0.03929027508858868
47	2.32269222609216e-05	0.024988721982238463
48	2.2128817051450533e-05	0.03840711842668881
49	1.5929695409283573e-05	0.028756482018143473
50	1.9059900690759912e-05	0.03757839311827796
51	2.9842791037654193e-05	0.025843481801233924
52	2.90368343741354e-05	0.032520225503786665
53	1.9276047691085818e-05	0.024880070038351063
54	2.5286532601406786e-05	0.04200237925162148
55	3.0611241978339976e-05	0.03347421336464966
56	1.6267009998016668e-05	0.026183372007648576
57	2.6851113396536563e-05	0.026602544987915023
58	2.6055901103647083e-05	0.03554324960762753
59	2.3486551202323014e-05	0.04228978130331719
60	1.8919970355191218e-05	0.02249691648932431
61	1.67683238826849e-05	0.04147922437471868
62	2.1430740092504008e-05	0.02836614920552281
63	1.6423747109112208e-05	0.030780744455335313
64	1.0465027599132481e-05	0.035441317862255906
65	1.244144000567271e-05	0.02688209997736407
66	2.7665779306601523e-05	0.033796644327423686
67	2.0353978733067546e-05	0.02865232583521027
68	1.645929083821107e-05	0.027515142146738933
69	1.986320508451378e-05	0.04789932770915656
70	2.006599612014437e-05	0.03522840712794689
71	1.8154170870587905e-05	0.027567225048693994
72	2.1693532512828684e-05	0.03119479537872509
73	1.358731782952205e-05	0.03613883256140503
74	2.6573736629287303e-05	0.02645241146638344
75	2.122958964922983e-05	0.0360050161772576
76	1.9720077455542828e-05	0.03637273412259773
77	2.1085975891718678e-05	0.03768998534870338
78	2.5321738375577718e-05	0.03304428286010774
79	2.6783139029165626e-05	0.031487659976678406
80	9.283538364990296e-06	0.031437243612910476
81	2.4796157485129644e-05	0.03732655590246699
82	2.125606801506308e-05	0.03249004198191366
83	1.8234014604101567e-05	0.03105295639813327
84	2.6395620383812268e-05	0.03305745998662883
85	2.1688918694529047e-05	0.03382061447843479
86	2.2711493593258192e-05	0.03274009589367918
87	2.5664004804692997e-05	0.033854983217076084
88	3.190181516199431e-05	0.044782677010120564
89	1.583785620459799e-05	0.03380169847012374
90	1.9798096788981034e-05	0.038469851083083526
91	1.906845849994343e-05	0.04225913790566228
92	1.4757093753092754e-05	0.03042784905446394
93	2.659970730570227e-05	0.0390341501708234
94	3.6025398677225207e-05	0.027931409121878803
95	2.4943397142068724e-05	0.045527871193680736
96	2.141902116672978e-05	0.03270007625167509
97	1.5038571577780102e-05	0.03598556691794458
98	2.3797967031391476e-05	0.03883076802312785
99	2.244532468542726e-05	0.033562662264562906
100	2.2307812298935636e-05	0.03428589751044617
101	2.7695511786135496e-05	0.03845587257236002
102	2.4599135565656072e-05	0.02733727477589265
103	2.400700833868341e-05	0.038085513516501884
104	1.5754231518866346e-05	0.033585837462892315
105	1.7955503345268298e-05	0.03687536105123829
106	2.247892115342376e-05	0.03256983840751826
107	2.1628514929650233e-05	0.03178961375039224
108	2.0131465001155258e-05	0.035710152412499266
109	3.0405218382351107e-05	0.02361494425729993
110	2.542038276759362e-05	0.030924214933305244
111	2.9652869619589683e-05	0.0229015841863473
112	1.8657086675699652e-05	0.03346794593156671
113	2.6542498789305924e-05	0.03814816914175431
114	1.5996767355141994e-05	0.018994961889443884
115	1.3988518385271709e-05	0.033919177238369264
116	2.0588995594428283e-05	0.02905601610958647
117	2.0824665245500196e-05	0.03609738693241327
118	2.9058410389137812e-05	0.024411097784595957
119	2.052745582886706e-05	0.046860256218192384
120	2.455751098254244e-05	0.044635762539917634
121	8.352319251281326e-06	0.03742254557562459
122	2.1950147349375504e-05	0.032209479108714134
123	2.851462801639615e-05	0.02922602059251661
124	2.81401226656236e-05	0.027170693158821535
125	2.5477575768179106e-05	0.04369080326613228
126	2.186615585214602e-05	0.03991669354453911
127	2.3528396888551628e-05	0.031468995395387125
128	1.5290573355711268e-05	0.0343387779468137
129	2.486676747096017e-05	0.03943598519447143
130	1.898066586197844e-05	0.03800544459468164
131	1.372679843913982e-05	0.049409655475975006
132	3.246915787996629e-05	0.028937105346152875
133	2.0315744660576174e-05	0.035465271880040075
134	1.4930909881361032e-05	0.0342054763981285
135	2.7988673668488673e-05	0.022486826793640807
136	2.283551278009499e-05	0.03495683099314981
137	2.8329159229234513e-05	0.03097293672060597
138	2.2857682687060787e-05	0.033051464445700784
