cohort	n_independent_graph_null_draws	observed	n_as_or_more_extreme	two_sided_monte_carlo_p	null_median	null_ci_low	null_ci_high	global_moran_abs_delta_per_draw_section_median	global_moran_abs_delta_per_draw_section_median_max	mask_moran_abs_delta_per_draw_section_median	mask_moran_abs_delta_per_draw_section_median_max	input_draw_files	input_audit_files	graph_null_target
GSE278687	3996	0.4183273	0	0.0002501876407305479	-0.000344691288289	-0.025782921549525	0.0246685247097875	2.1719996813798076e-05	3.890970650929915e-05	0.03497492204460627	0.05761190572112147	['GSE278687_v3_patient_graph_null_draws_batch1.tsv', 'GSE278687_v3_patient_graph_null_draws_batch2.tsv', 'GSE278687_v3_patient_graph_null_draws_batch3.tsv', 'GSE278687_v3_patient_graph_null_draws_batch4.tsv']	['GSE278687_v3_patient_graph_null_audit_batch1.tsv', 'GSE278687_v3_patient_graph_null_audit_batch2.tsv', 'GSE278687_v3_patient_graph_null_audit_batch3.tsv', 'GSE278687_v3_patient_graph_null_audit_batch4.tsv']	global outcome Moran I; mask Moran I reported as an audit, not separately calibrated
GSE277116	3996	0.4136335	0	0.0002501876407305479	-0.0005942954587195	-0.030712525663612503	0.0308556041019375	1.5968757557513133e-05	3.267608649931697e-05	0.027057457060313667	0.04946217312230106	['GSE277116_v3_main18_graph_null_draws_batch1.tsv', 'GSE277116_v3_main18_graph_null_draws_batch2.tsv', 'GSE277116_v3_main18_graph_null_draws_batch3.tsv', 'GSE277116_v3_main18_graph_null_draws_batch4.tsv']	['GSE277116_v3_main18_graph_null_audit_batch1.tsv', 'GSE277116_v3_main18_graph_null_audit_batch2.tsv', 'GSE277116_v3_main18_graph_null_audit_batch3.tsv', 'GSE277116_v3_main18_graph_null_audit_batch4.tsv']	global outcome Moran I; mask Moran I reported as an audit, not separately calibrated
