draw	global_moran_section_median_abs_delta	mask_moran_section_median_abs_delta
1	1.1143243524122659e-05	0.030225521911268677
2	2.1224578034155506e-05	0.017567835950990256
3	1.598004550721916e-05	0.02229629097345659
4	1.4895965586040824e-05	0.032628338214395536
5	1.6638025029869913e-05	0.023342797454227772
6	1.2902834493962179e-05	0.025426181287000853
7	1.244958683566371e-05	0.03001639716378179
8	1.8430772372173e-05	0.025831379278475015
9	1.6129222008645118e-05	0.030771356186439947
10	9.962522230620371e-06	0.01718986373610743
11	1.476052982302134e-05	0.01876446614987027
12	1.604663034875109e-05	0.019864722896170847
13	1.8979590848386407e-05	0.032007888488849195
14	1.8661317292469753e-05	0.018707629253313804
15	1.6948592613555587e-05	0.029391272863376533
16	1.0017876501622336e-05	0.028359012114724073
17	1.7499285462269087e-05	0.027655906709159298
18	2.375689784438889e-05	0.027741758868802674
19	1.2138938082720957e-05	0.01774848293177146
20	1.3821218659604978e-05	0.025752581394637833
21	2.1899276924648714e-05	0.023845792996474525
22	1.676942252882424e-05	0.02730949355753859
23	1.9799681479408526e-05	0.023206809511165855
24	1.400675979152527e-05	0.040415348342462215
25	2.0348021603375233e-05	0.022213079877411987
26	1.9250163684475866e-05	0.029005313623181705
27	1.4932317624255509e-05	0.029040800572973303
28	1.436489297950913e-05	0.03174518109974474
29	1.9488087574969643e-05	0.030419257882993118
30	1.9397431644776336e-05	0.034498125515796285
31	1.5645315614855326e-05	0.03655572625768329
32	1.4618853014285171e-05	0.02803446665163564
33	2.175740725365166e-05	0.03006249199044012
34	9.79702484334155e-06	0.028806024934445017
35	9.436958566234888e-06	0.029622224846991282
36	1.5390520817643027e-05	0.034519363282015256
37	1.5636339491181123e-05	0.037162863636899364
38	1.519447468403129e-05	0.03084215456370476
39	1.0558973542400263e-05	0.026401815149425745
40	1.4850843817810176e-05	0.024373162217310777
41	2.2947377346635434e-05	0.022977807606426127
42	1.583018588188767e-05	0.03027680585458561
43	1.782237786045887e-05	0.03871407270545743
44	2.043763347318872e-05	0.025521403398362813
45	1.2815961008653953e-05	0.021445117076816685
46	1.8243621162830626e-05	0.02859416030372487
47	1.0392127579580274e-05	0.030965222931419106
48	1.3150366692360471e-05	0.019355947697955435
