draw	global_moran_section_median_abs_delta	mask_moran_section_median_abs_delta
1	1.6159175107145762e-05	0.018043669329076195
2	2.5410013741150594e-05	0.01699298166393408
3	1.5880160557139866e-05	0.02856569167325554
4	1.3270866245460033e-05	0.024620368509432635
5	1.684759188201341e-05	0.03714138937442345
6	1.4849426233890135e-05	0.025931443106158858
7	1.7236318656895476e-05	0.02094016480590912
8	1.765745873966683e-05	0.022416461197603228
9	1.6137833528745427e-05	0.023404976978400202
10	1.5814984721015946e-05	0.02236790921108963
11	2.41927041988374e-05	0.02817327698058608
12	1.6899228974461694e-05	0.029222781495126478
13	1.3008747663457304e-05	0.027548286950718308
14	1.0849845458224538e-05	0.02373319693327091
15	1.5114640151220327e-05	0.02785242839307288
16	1.431804978854756e-05	0.030949721137111922
17	2.084554021774057e-05	0.031599209595499986
18	1.975153852907391e-05	0.025700676901454098
19	1.561451997855734e-05	0.030835755363533827
20	1.5097297067331178e-05	0.027008696804977778
21	1.8705750064212934e-05	0.02902555093943448
22	1.917153048526174e-05	0.025319044413141846
23	1.967016578901387e-05	0.026309050531398467
24	2.0273755369060176e-05	0.026805250647323076
25	1.9313545141924626e-05	0.024398654712643013
26	1.613385442462631e-05	0.03567034808465287
27	1.9355600626984326e-05	0.03097593658398489
28	1.904861990303583e-05	0.017922642036232353
29	1.6090922230621585e-05	0.01891689591601909
30	1.5994084680556048e-05	0.025155804586054042
31	1.702503164948549e-05	0.02362084615942916
32	1.3562123883884003e-05	0.028728667978626707
33	1.720432969312593e-05	0.02177525978492252
34	1.5077253394182866e-05	0.028310007037991046
35	1.6885926694715225e-05	0.029203414635179364
36	1.575802913133563e-05	0.023635751761860516
37	1.26694004243047e-05	0.022166275427508722
38	1.613987875104944e-05	0.026675882736799626
39	1.34608518483504e-05	0.02402554390364221
40	1.724900388556331e-05	0.03008572894870544
41	1.5650181481689784e-05	0.030488426626947288
42	1.9284789759273224e-05	0.025947846802424165
43	1.6937795539170852e-05	0.030197963723906596
44	1.183565920061247e-05	0.02251514297390292
45	1.2893816821266807e-05	0.02396697247476167
46	1.3338222864048288e-05	0.02481450172769411
47	2.633317218705966e-05	0.04254598917417833
48	2.0496790562635377e-05	0.025036300778793805
49	1.5575856052933712e-05	0.030750327765702114
50	1.5343496570494053e-05	0.01902925903498906
51	2.0249000219792895e-05	0.02393516306485923
52	1.2196768254122553e-05	0.032213123218643766
53	1.58277371496221e-05	0.01984249410146289
54	9.306882153500146e-06	0.02888501578259533
55	1.3336475556638416e-05	0.02851852210898375
56	1.0185677473692825e-05	0.020516220564575686
57	9.107533669915069e-06	0.03183839127740655
58	1.5732520982343276e-05	0.023802073057072742
59	1.2546729113434123e-05	0.02293733111180226
60	1.1578037502806351e-05	0.021389079367585183
61	1.765711486324123e-05	0.023786631696010613
62	1.296290234092598e-05	0.031612139943886654
63	1.563934085614671e-05	0.023753177702584727
64	1.8838000178288128e-05	0.024517028291146093
65	1.5307636453798512e-05	0.031574015178188836
66	1.9583038386401797e-05	0.02588914764974991
67	1.2443011740300575e-05	0.027738433548427872
68	1.795191895034333e-05	0.034547937592516106
69	1.2741408933043818e-05	0.025573898728249812
70	1.36907078738778e-05	0.030809111145964182
71	1.209944254067924e-05	0.02339792868331014
72	1.754846264485216e-05	0.033950190349624515
73	1.851606855445692e-05	0.028993786648613667
74	1.848184128664873e-05	0.03329984103348291
75	1.9777498134580795e-05	0.028471936916624113
76	1.2107761119303784e-05	0.021161920821917
77	1.4028480963712564e-05	0.023811737809007173
78	1.2027043903579948e-05	0.022096820898409142
79	8.435594863819007e-06	0.023746191010306308
80	1.8382790063473792e-05	0.02242323514853832
81	1.9396156453911975e-05	0.026302343952021134
82	1.2556801617637225e-05	0.028992611578639037
83	1.7621021236251255e-05	0.01874146275588401
84	1.4628791068282965e-05	0.018374470690249573
85	1.6966547493453554e-05	0.02503471510675137
86	1.644841429170041e-05	0.02767738630098926
87	1.571715371377104e-05	0.02768859628827473
88	1.866382671032729e-05	0.03199666397642145
89	1.5280157733991995e-05	0.034392422244080595
90	1.0266476540295166e-05	0.021252260846475177
91	1.777057614901767e-05	0.024872439933220344
92	1.2029142257070913e-05	0.02931661690371961
93	1.1254817800718242e-05	0.019824209750165744
94	1.6113925001530124e-05	0.030393069281051403
95	1.7020191154692305e-05	0.03043103301449797
96	2.044081400439518e-05	0.021674705681397774
97	2.2508335804645452e-05	0.01807403163075147
98	2.32630976629844e-05	0.015793023289672935
99	1.924175034565684e-05	0.028020300141051717
100	1.2421810202424555e-05	0.019357014361020775
101	1.5764891097013595e-05	0.019070264394550285
102	9.238301348940547e-06	0.027876494230132505
103	1.5675764714367935e-05	0.018722937259122198
104	1.601478481791374e-05	0.019861293464344648
105	1.7629365879636393e-05	0.02915980706600987
106	1.0609548559595283e-05	0.022088556546346547
107	2.1245182234296695e-05	0.03214338285163937
108	1.1004672214548136e-05	0.019428101259016155
109	1.5070880970795286e-05	0.026037401438508773
110	1.5259396392179603e-05	0.024291982440025034
111	1.3648963238584166e-05	0.021080522214146122
112	1.7193071699535614e-05	0.028234830860513253
113	1.2760798963021291e-05	0.024917377388848343
114	1.3106832080320152e-05	0.011984287091934005
115	1.7216024278905728e-05	0.026574626887063964
116	1.5949330866751876e-05	0.033686354193055164
117	1.5638130141777673e-05	0.023294116580095385
118	1.6216711308837672e-05	0.01971291426731671
119	9.490062622199112e-06	0.025857053325298095
120	1.0625366744745901e-05	0.028271310112143597
121	1.7409700028690744e-05	0.03419924069001887
122	2.1224838048516242e-05	0.02772288028930489
123	1.6395367972286967e-05	0.02231902186638793
124	1.3341185371308628e-05	0.02714735834085504
125	2.1261886406720443e-05	0.03014782902704868
126	9.805562468500478e-06	0.030844893031598056
127	1.6460982976793104e-05	0.02463726693345069
128	1.8171936580078235e-05	0.023138371972587016
129	1.553122457135722e-05	0.01887006530259334
130	1.653657813224102e-05	0.031069298071696193
131	1.8947025973182867e-05	0.020193172741441383
132	1.5611268961920888e-05	0.028459028766077313
133	1.617191692274405e-05	0.03213634852336551
134	1.4989144678876493e-05	0.02456230288334732
135	1.1674330001171934e-05	0.029334888638469295
136	1.9316224795593723e-05	0.023233217198436573
137	2.33110997727784e-05	0.02033209598992821
138	1.534805120494663e-05	0.030890608453371358
139	1.8591606261872395e-05	0.03178268595562622
140	2.2628732649521144e-05	0.036300331700254374
141	9.510969333968028e-06	0.022890529150649295
142	1.2034666769369928e-05	0.03181612133691889
143	1.983337150188863e-05	0.019091182362812625
144	1.7417768279152576e-05	0.028306755744892016
145	1.4243725505361238e-05	0.022562376563756315
146	1.1279407137004122e-05	0.022969114433655832
147	1.1275401586458358e-05	0.029833714581591588
148	1.3827445339981148e-05	0.01972466443765989
149	1.8855338654530547e-05	0.02309988621750149
150	1.827105226815881e-05	0.028708602141795457
151	1.4786700192163937e-05	0.02317345182194986
152	1.2211616620346616e-05	0.022548961337719373
153	1.9069616162874226e-05	0.014547510294017026
154	2.1925429035576927e-05	0.02898322000299902
155	1.783969229472715e-05	0.026003898194711845
156	1.876467955073957e-05	0.028075674084403
157	1.1830249650658653e-05	0.024001123192234977
158	1.406218119105393e-05	0.029015458129448633
159	2.205793748970286e-05	0.016063270408865484
160	1.9621086593833714e-05	0.0267636857611551
161	1.9038067736523723e-05	0.018715312183305556
162	1.6881898814914698e-05	0.023005534651074744
163	1.962131855072491e-05	0.02977098393376692
164	1.4805328406468365e-05	0.03465006611743297
165	1.3021658374287592e-05	0.01898566514288995
166	1.6205792022164905e-05	0.020907915212901085
167	2.1088834611463977e-05	0.02214013902643777
168	2.180457644173489e-05	0.02229472582939024
169	1.9618155431316148e-05	0.02244670230612398
170	1.5389521000930967e-05	0.024920037430634978
171	2.0740557530030818e-05	0.035647490340049895
172	1.0445666023373157e-05	0.030912417202806394
173	1.616032068620793e-05	0.03461448334011439
