purpose	program	left_label	right_label	min_cells_per_label	inferential_role	paired_patients	median_paired_difference	median_paired_difference_ci_low	median_paired_difference_ci_high	median_left	median_right	wilcoxon_two_sided_p	status	wilcoxon_two_sided_p_fdr_bh_exploratory	multiplicity_note
mregDC attribution minimum-cell sensitivity	mregDC_like	Dendritic (activated)	Dendritic (conventional type 2)	3	exploratory	9	0.7181732654571533	0.35864147543907166	0.9328942894935608	0.7732869386672974	0.18416139483451843	0.00390625	patient-level program-attribution comparison; not a spatial, causal, or cell-interaction test	0.00640625	exploratory comparison; Benjamini-Hochberg FDR adjusted across all non-primary comparisons in this table
mregDC attribution minimum-cell sensitivity	mregDC_like	Dendritic (activated)	Dendritic (conventional type 2)	5	exploratory	7	0.7181732654571533	0.35864147543907166	0.7474600672721863	0.7339337468147278	0.18416139483451843	0.015625	patient-level program-attribution comparison; not a spatial, causal, or cell-interaction test	0.016858552631578948	exploratory comparison; Benjamini-Hochberg FDR adjusted across all non-primary comparisons in this table
